"Description","Timeseries File ID","Unit of Measure","Table Name"
"Merchandise Export Deflator, Total","PXM","2012=1.0",""
"Merchandise Export Deflator, Farm and fishing products","PXAG","2012=1.0",""
"Merchandise Export Deflator, Farm and fishing products, Live animals ","PXLAN","2012=1.0",""
"Merchandise Export Deflator, Farm and fishing products, Wheat ","PXWHE","2012=1.0",""
"Merchandise Export Deflator, Farm and fishing products, Canola","PXCAN","2012=1.0",""
"Merchandise Export Deflator, Farm and fishing products, Other Farm and Fishing Products","PXOAG","2012=1.0",""
"Merchandise Export Deflator, Energy Products","PXEN","2012=1.0",""
"Merchandise Export Deflator, Energy Products, Crude oil and crude bitumen ","PXOIL","2012=1.0",""
"Merchandise Export Deflator, Energy Products, Natural gas, natural gas liquids and related products ","PXGAS","2012=1.0",""
"Merchandise Export Deflator, Energy Products, Refined petroleum energy products ","PXPCP","2012=1.0",""
"Merchandise Export Deflator, Energy Products, Electricity","PXELE","2012=1.0",""
"Merchandise Export Deflator, Energy Products, Other energy products ","PXOEN","2012=1.0",""
"Merchandise Export Deflator, Crude Metals and Minerals","PXCM","2012=1.0",""
"Merchandise Export Deflator, Primary Metals","PXPM","2012=1.0",""
"Merchandise Export Deflator, Basic and industrial chemical, plastic and rubber products ","PXCH","2012=1.0",""
"Merchandise Export Deflator, Wood products","PXWD","2012=1.0",""
"Merchandise Export Deflator, Pulp and paper stock ","PXPA","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products","PXMF","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Industrial machinery, equipment and parts ","PXIND","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Electronic and electrical equipment and parts ","PXELC","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Motor vehicles and parts ","PXMVP","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Aircraft, aircraft engines and aircraft parts ","PXAIR","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Other transportation equipment and parts ","PXOTR","2012=1.0",""
"Merchandise Export Deflator, Manufacturing products, Other manufacturing products","PXOMF","2012=1.0",""
"Merchandise Export Deflator, Consumer goods ","PXCG","2012=1.0",""
"Merchandise Export Deflator, Consumer goods, Food,  beverage and tobacco products","PXFBT","2012=1.0",""
"Merchandise Export Deflator, Consumer goods, Other consumer goods","PXOCG","2012=1.0",""
"Merchandise Export Deflator, Special transactions trade ","PXSP","2012=1.0",""
"Merchandise Export Deflator, Other balance of payments adjustments ","PXBP","2012=1.0",""
"Merchandise Imports, Total","MMK","Millions $ 2012",""
"Merchandise Imports, Farm and fishing products    ","MAGK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts","MENK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts, Crude oil and crude bitumen ","MOILK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts, Natural gas, natural gas liquids and related products ","MGASK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts, Refined petroleum energy products ","MPCPK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts, Electricity","MELEK","Millions $ 2012",""
"Merchandise Imports, Energy Proudcts, Other energy products ","MOENK","Millions $ 2012",""
"Merchandise Imports, Crude Metals and Minerals","MCMK","Millions $ 2012",""
"Merchandise Imports, Primary Metals","MPMK","Millions $ 2012",""
"Merchandise Imports, Basic and industrial chemical, plastic & rubber products ","MCHK","Millions $ 2012",""
"Merchandise Imports, Wood products","MWDK","Millions $ 2012",""
"Merchandise Imports, Pulp and paper stock ","MPAK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products","MMFK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Industrial machinery, equipment and parts ","MINDK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Electronic and electrical equipment and parts ","MELCK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Motor vehicles and parts ","MMVPK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Aircraft, aircraft engines and aircraft parts ","MAIRK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Other transportation equipment and parts ","MOTRK","Millions $ 2012",""
"Merchandise Imports, Manufacturing Products, Other manufacturing products","MOMFK","Millions $ 2012",""
"Merchandise Imports, Consumer goods","MCGK","Millions $ 2012",""
"Merchandise Imports, Consumer goods, Food,  beverage and tobacco products ","MFBTK","Millions $ 2012",""
"Merchandise Imports, Consumer goods, Clothing, footwear and textile products ","MTKCK","Millions $ 2012",""
"Merchandise Imports, Consumer goods, Other consumer goods","MOCGK","Millions $ 2012",""
"Merchandise Imports, Special transactions trade ","MSPK","Millions $ 2012",""
"Merchandise Imports, Other balance of payments adjustments ","MBPK","Millions $ 2012",""
"Merchandise Imports, Total","MM","Millions $",""
"Merchandise Imports, Farm and fishing products    ","MAG","Millions $",""
"Merchandise Imports, Energy Proudcts","MEN","Millions $",""
"Merchandise Imports, Energy Proudcts, Crude oil and crude bitumen ","MOIL","Millions $",""
"Merchandise Imports, Energy Proudcts, Natural gas, natural gas liquids and related products ","MGAS","Millions $",""
"Merchandise Imports, Energy Proudcts, Refined petroleum energy products ","MPCP","Millions $",""
"Merchandise Imports, Energy Proudcts, Electricity","MELE","Millions $",""
"Merchandise Imports, Energy Proudcts, Other energy products ","MOEN","Millions $",""
"Merchandise Imports, Crude Metals and Minerals","MCM","Millions $",""
"Merchandise Imports, Primary Metals","MPM","Millions $",""
"Merchandise Imports, Basic and industrial chemical, plastic & rubber products ","MCH","Millions $",""
"Merchandise Imports, Wood products","MWD","Millions $",""
"Merchandise Imports, Pulp and paper stock ","MPA","Millions $",""
"Merchandise Imports, Manufacturing Products","MMF","Millions $",""
"Merchandise Imports, Manufacturing Products, Industrial machinery, equipment and parts ","MIND","Millions $",""
"Merchandise Imports, Manufacturing Products, Electronic and electrical equipment and parts ","MELC","Millions $",""
"Merchandise Imports, Manufacturing Products, Motor vehicles and parts ","MMVP","Millions $",""
"Merchandise Imports, Manufacturing Products, Aircraft, aircraft engines and aircraft parts ","MAIR","Millions $",""
"Merchandise Imports, Manufacturing Products, Other transportation equipment and parts ","MOTR","Millions $",""
"Merchandise Imports, Manufacturing Products, Other manufacturing products","MOMF","Millions $",""
"Merchandise Imports, Consumer goods","MCG","Millions $",""
"Merchandise Imports, Consumer goods, Food,  beverage and tobacco products ","MFBT","Millions $",""
"Merchandise Imports, Consumer goods, Clothing, footwear and textile products ","MTKC","Millions $",""
"Merchandise Imports, Consumer goods, Other consumer goods","MOCG","Millions $",""
"Merchandise Imports, Special transactions trade ","MSP","Millions $",""
"Merchandise Imports, Other balance of payments adjustments ","MBP","Millions $",""
"Merchandise Import Deflator, Total","PMM","2012=1.0",""
"Merchandise Import Deflator, Farm and fishing products    ","PMAG","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts","PMEN","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts, Crude oil and crude bitumen ","PMOIL","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts, Natural gas, natural gas liquids and related products ","PMGAS","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts, Refined petroleum energy products ","PMPCP","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts, Electricity","PMELE","2012=1.0",""
"Merchandise Import Deflator, Energy Proudcts, Other energy products ","PMOEN","2012=1.0",""
"Merchandise Import Deflator, Crude Metals and Minerals","PMCM","2012=1.0",""
"Merchandise Import Deflator, Primary Metals","PMPM","2012=1.0",""
"Merchandise Import Deflator, Basic and industrial chemical, plastic & rubber products ","PMCH","2012=1.0",""
"Merchandise Import Deflator, Wood products","PMWD","2012=1.0",""
"Merchandise Import Deflator, Pulp and paper stock ","PMPA","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products","PMMF","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Industrial machinery, equipment and parts ","PMIND","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Electronic and electrical equipment and parts ","PMELC","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Motor vehicles and parts ","PMMVP","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Aircraft, aircraft engines and aircraft parts ","PMAIR","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Other transportation equipment and parts ","PMOTR","2012=1.0",""
"Merchandise Import Deflator, Manufacturing Products, Other manufacturing products","PMOMF","2012=1.0",""
"Merchandise Import Deflator, Consumer goods","PMCG","2012=1.0",""
"Merchandise Import Deflator, Consumer goods, Food,  beverage and tobacco products ","PMFBT","2012=1.0",""
"Merchandise Import Deflator, Consumer goods, Clothing, footwear and textile products ","PMTKC","2012=1.0",""
"Merchandise Import Deflator, Consumer goods, Other consumer goods","PMOCG","2012=1.0",""
"Merchandise Import Deflator, Special transactions trade ","PMSP","2012=1.0",""
"Merchandise Import Delator, Other balance of payments adjustments ","PMBP","2012=1.0",""
"Non-Merchandise Exports, Total","XSK ","Millions $ 2012",""
"Non-Merchandise Exports, Travel","XTRK","Millions $ 2012",""
"Non-Merchandise Exports, Transportation","XFSK","Millions $ 2012",""
"Non-Merchandise Exports, Other Services","XOSK","Millions $ 2012",""
"Non-Merchandise Exports, Total","MSK","Millions $ 2012",""
"Non-Merchandise Imports, Travel","MTRK","Millions $ 2012",""
"Non-Merchandise Imports, Transportation","MFSK","Millions $ 2012",""
"Non-Merchandise Imports, Other Services","MOSK","Millions $ 2012",""
"Balances, Travel","XNTRK","Millions $ 2012",""
"Balances, Transportation","XNFSK","Millions $ 2012",""
"Balances, Other Services","XNOSK","Millions $ 2012",""
"Total Balance, Total Non-Merchandise","XNETSK","Millions $ 2012",""
"Non-Merchandise Exports, Total","XS ","Millions $",""
"Non-Merchandise Exports, Travel","XTR","Millions $",""
"Non-Merchandise Exports, Transport","XFS","Millions $",""
"Non-Merchandise Exports, Other Services","XOS","Millions $",""
"Non-Merchandise Imports","MS","Millions $",""
"Non-Merchandise Imports, Travel","MTR","Millions $",""
"Non-Merchandise Imports, Transportation","MFS","Millions $",""
"Non-Merchandise Imports, Other Services","MOS","Millions $",""
"Exports of Interests and Dividends","XID","Millions $",""
"Imports of Interests and Dividends","MID","Millions $",""
"Imports of Interests and Dividends, Interests","MIN","Millions $",""
"Imports of Interests and Dividends, Dividends","MDV","Millions $",""
"Imports of Interests and Dividends, Other","MIO","Millions $",""
"Balances, Travel","XNTR","Millions $",""
"Balances, Transportation","XNFS","Millions $",""
"Balances, Other Services","XNOS","Millions $",""
"Balances, Investment Income (BOP)","XNID","Millions $",""
"Balances, Financial Services indirectly measured (NIA)","XFIS","Millions $",""
"Balances, Financial Services indirectly measured (NIA)","MFIS","Millions $",""
"Balances, Financial Services indirectly measured (NIA)","XNFI","Millions $",""
"Total Balance, Total Non-Merchandise","XNETS","Millions $",""
"Non-Merchandise Export Deflator, Total ","PXS ","2012=1.0",""
"Non-Merchandise Export Deflator, Travel ","PXTR","2012=1.0",""
"Non-Merchandise Export Deflator, Transportation ","PXFS","2012=1.0",""
"Non-Merchandise Export Deflator,Other Services","PXOS","2012=1.0",""
"Non-Merchandise Import Deflator, Total ","PMS","2012=1.0",""
"Non-Merchandise Import Deflator, Travel ","PMTR","2012=1.0",""
"Non-Merchandise Import Deflator, Transportation ","PMFS","2012=1.0",""
"Non-Merchandise Import Deflator,Other Services","PMOS","2012=1.0",""
"Gross Domestic Product at Basic Prices","QRDP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Crop, Forestry, Fishing and Trapping and Support","QAGG","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Crop, Forestry, Fishing and Trapping and Support, Crop and Animal Production","QCROP","Millions $ 2012",""
"Gross Domestic Product: Forestry and Logging","QFLOG","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Crop, Forestry, Fishing and Trapping and Support, Fishing, Hunting and Trapping","QHUNT","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Crop, Forestry, Fishing and Trapping and Support, Support Activities for Agriculture and Forestry","QSAGF","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining","QMIN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Oil and Gas Extraction","QMOIL","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Conventional Oil Extraction","QMOIC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Non-conventional Oil Extraction","QMOIN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Coal Mining","QMCOA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Metal Ore Mining","QMORE","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Non-Metallic Mineral Mining and Quarrying","QMMIN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Mining, Support Activities for Mining and Oil and Gas Extraction","QMSUP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Utilities","QUTI","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Utilities, Electric Power Generation, Transmission and Distribution","QEPOW","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Utilities, Natural Gas Distribution, Water, Sewage and Other Systems","QGASD","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction","QCON","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Residential Building Construction","QCRES","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Non-residential Building Construction","QCNRB","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Oil and Gas Engineering Construction","QCOIL","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Electric Power Engineering Construction","QCEPE","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Transportation Engineering Construction","QCTRA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Repair Construction","QCOBU","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Construction, Other Construction","QCOEN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing","QMAN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Food Manufacturing","QFFOO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Beverage and Tobacco Product Manufacturing","QFBEV","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Textile and Textile Product Mills","QFTEX","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Clothing Manufacturing","QFCLO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Wood Product Manufacturing","QFWOO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Paper Manufacturing","QFPAP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Printing and Related Support Activities","QFPRN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Petroleum and Coal Products Manufacturing","QFPET","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Chemical Manufacturing","QFCHE","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Plastics and Rubber Products Manufacturing","QFPLA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Non-Metallic Mineral Product Manufacturing","QFMIN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Primary Metal Manufacturing","QFPRM","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Fabricated Metal Products Manufacturing","QFFAB","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Machinery Manufacturing","QFMAC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Computer and Electronic Product Manufacturing","QFCOM","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Electrical Equipment, Appliance and Component Manufacturing","QFEEQ","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing","QFTR","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing, Motor Vehicle and Parts","QFMVP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing, Other Transportation","QFOTR","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing,  Furniture and Related Product Manufacturing","QFFUR","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Miscellaneous Manufacturing","QFMIS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services","QSER","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services","QCMS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade","QWRT","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Building material and supplies wholesaler-distributors","QTWBU","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Food, beverage and tobacco wholesaler-distributors","QTWFO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Wholesale Trade","QTWHO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Machinery, equipment and supplies wholesaler-distributors","QTWME","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Motor vehicle and parts wholesaler-distributors","QTWMV","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Other Wholesale trade","QTWOT","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Building material and garden equipment and supplies dealers","QTRBU","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Clothing and clothing accessories stores","QTRCL","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Retail Trade","QTRET","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Food and beverage stores","QTRFO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Furniture and home furnishings stores and Electronics and appliance stores","QTRFU","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Gasoline stations","QTRGA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Retail Motor vehicle and parts dealers","QTRMV","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Other Retail Trade","QTROT","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Trade, Sporting goods, hobby, book and music stores","QTRSP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing","QTSC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Air transportation","QWAIR","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Rail transportation","QWRAI","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Water transportation","QWWAT","Millions $",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Truck Transportation","QWTRU","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Transit and Ground Passenger Transportation","QWTRA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Pipeline Transportation","QWPIP","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Support activities for transportation","QWSUP","Millions $",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Postal Service and Couriers and Messengers","QWPOS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Transportation and Warehousing, Warehousing and Storage","QWSTO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Information and Cultural Services","QCUL","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Information and Cultural Services, Motion Picture and broadcasting","QCPIC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Information and Cultural Services, Publishing Industries, Data processing, hosting, and related services","QCPTE","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Information and Cultural Services, Publishing Industries, Information Services and Data Processing Services","QCPUB","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Credit intermediation and monetary authorities","QFFIN ","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Insurance carriers and related activities","QFINS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Real estate and rental and leasing","QFREA","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing","QIFI","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Professional, Scientific and Technical Services","QEMAN","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Other, Professional, Scientific and Technical Services","QPROF","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Other, Administrative and Support Services","QADMI","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Services, Business Services, Finance, Insurance, Real Estate and Rental and Leasing, Other, Waste Management and Remediation Services","QWAST","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Non-Commercial Services","QNCS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Non-Commercial Services, Educational Services","QEDUC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Non-Commercial Services, Health Care and Social Assistance and Hospitals","QHEAL","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Non-Commercial Services, Arts, Entertainment and Recreation","QARTS","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Non-Commercial Services, Accommodation and Food Services","QACCO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Services, Repair and Maintenance, Grant making Organizations, and Operating Office, Cafeteria and Lab Supplies","QOSER","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government","QPAD","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government, Other Municipal Government Services","QPLOC","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government, Other Provincial and Territorial Government Services","QPROV","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government, Aboriginal public administration","QPABO","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government, Federal Government Defence Services","QPDEF","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Government, Other Federal Government Services","QPFED","Millions $ 2012",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing, Aerospace Product and Parts Manufacturing","QFAER","Millions $ 2007",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing, Railroad Rolling Stock Manufacturing ","QFRRR","Millions $ 2007",""
"Gross Domestic Product at Basic Prices, Manufacturing, Transportation Equipment Manufacturing, Ship and Boat Building ","QFSHP","Millions $ 2007",""
"Employment","E","Thousands ('000s)",""
"Part-Time Employment","EPART","Thousands ('000s)",""
"Total Population","HP","Thousands ('000s)",""
"Source Population","LP","Thousands ('000s)",""
"Participation Rate","LPR","Thousands ('000s)",""
"Labour Force","LF","Thousands ('000s)",""
"Unemployment Rate","UR","Thousands ('000s)",""
"Employment","E","Thousands ('000s)",""
"Employment, Agriculture","ECRO","Thousands ('000s)",""
"Employment, Other Primary","EOPR","Thousands ('000s)",""
"Employment, Manufacturing","EMAN","Thousands ('000s)",""
"Employment, Construction","ECON","Thousands ('000s)",""
"Employment, Utilities","EUTI","Thousands ('000s)",""
"Employment, Services,","ESER","Thousands ('000s)",""
"Employment, Services, Commercial","ECMS","Thousands ('000s)",""
"Employment, Services, Commercial, Wholesale and Retail Trade","EWRT","Thousands ('000s)",""
"Employment, Services, Commercial, Transportation and Warehousing","ETSC","Thousands ('000s)",""
"Employment, Services, Commercial, Finance, Insurance, Real Estate and Leasing","EIFI","Thousands ('000s)",""
"Employment, Services, Commercial, Professional, Scientific and Technical Services","EPRO","Thousands ('000s)",""
"Employment, Services, Commercial, Business, Building and other Support Services","EADW","Thousands ('000s)",""
"Employment, Services, Commercial, Information, Culture and Recreation","ECUR","Thousands ('000s)",""
"Employment, Services, Commercial, Accommodation and Food Services","EACC","Thousands ('000s)",""
"Employment, Services, Commercial, Other Services","EOSE","Thousands ('000s)",""
"Employment, Services, Non-Commercial","ENCS","Thousands ('000s)",""
"Employment, Services, Non-Commercial, Educational Services","EEDU","Thousands ('000s)",""
"Employment, Services, Non-Commercial, Health Care and Social Assistance","EHEA","Thousands ('000s)",""
"Employment, Services, Public Administration and Defence","EPAD","Thousands ('000s)",""
"Average Weekly Hours, Industrial Composite","AWHIC","",""
"Average Weekly Hours, Agriculture","AWHCRO","",""
"Average Weekly Hours, Other Primary","AWHOPR","",""
"Average Weekly Hours, Manufacturing","AWHMAN","",""
"Average Weekly Hours, Construction","AWHCON","",""
"Average Weekly Hours, Utilities","AWHUTI","",""
"Average Weekly Hours, Services","AWHSER","",""
"Average Weekly Hours, Services, Commercial Services","AWHCMS","",""
"Average Weekly Hours, Services, Commercial Services, Wholesale and Retail Trade","AWHWRT","",""
"Average Weekly Hours,  Services, Commercial Services, Transportation and Warehousing","AWHTSC","",""
"Average Weekly Hours, Services, Commercial Services, Insurance, Finance, Real Estate and Leasing","AWHIFI","",""
"Average Weekly Hours,  Services, Commercial Services, Professional, Scientific and Technical Services","AWHPRO","",""
"Average Weekly Hours, Services, Commercial Services, Business, Building and other Support Services","AWHADW","",""
"Average Weekly Hours,  Services, Commercial Services, Information, Culture and Recreation","AWHCUR","",""
"Average Weekly Hours,  Services, Commercial Services, Accommodation and Food Services","AWHACC","",""
"Average Weekly Hours,  Services, Commercial Services, Other Services","AWHOSE","",""
"Average Weekly Hours, Services, Non-Commercial Services","AWHNCS","",""
"Average Weekly Hours, Services, Non-Commercial Services, Educational Services","AWHEDU","",""
"Average Weekly Hours, Services, Non-Commercial Services, Health Care and Social Assistance","AWHHEA","",""
"Average Weekly Hours, Services, Public Administration and Defence","AWHPAD","",""
"Productivity, Private Non-Farm","PRPNF","Output/Person Hour",""
"Productivity, Agriculture","PRCRO","Output/Person Hour",""
"Productivity, Other Primary","PROPR","Output/Person Hour",""
"Productivity, Manufacturing","PRMAN","Output/Person Hour",""
"Productivity, Construction","PRCON","Output/Person Hour",""
"Productivity, Utilities","PRUTI","Output/Person Hour",""
"Productivity, Services","PRSER","Output/Person Hour",""
"Productivity, Services, Commercial Services","PRCMS","Output/Person Hour",""
"Productivity, Services, Commercial Services, Wholesale and Retail Trade","PRWRT","Output/Person Hour",""
"Productivity, Services, Commercial Services, Transportation and Warehousing","PRTSC","Output/Person Hour",""
"Productivity, Services, Commercial Services, Insurance, Finance, Real Estate and Leasing","PRIFI","Output/Person Hour",""
"Productivity, Services, Commercial Services, Professional, Scientific and Technical Services","PRPRO","Output/Person Hour",""
"Productivity, Services, Commercial Services, Business, Building and other Support Services","PRADW","Output/Person Hour",""
"Productivity, Services, Commercial Services, Information, Culture and Recreation","PRCUR","Output/Person Hour",""
"Productivity, Services, Commercial Services, Accommodation and Food Services","PRACC","Output/Person Hour",""
"Productivity, Services, Commercial Services, Other Services","PROSE","Output/Person Hour",""
"Productivity, Services, Non-Commercial Services","PRNCS","Output/Person Hour",""
"Productivity, Services, Non-Commercial Services, Educational Services","PREDU","Output/Person Hour",""
"Productivity, Services, Non-Commercial Services, Health Care and Social Assistance","PRHEA","Output/Person Hour",""
